省份,年份,D4_AI试验区,D5_区域分组
北京,2011,0,1
天津,2011,0,1
河北,2011,0,1
山西,2011,0,2
内蒙古,2011,0,3
辽宁,2011,0,4
吉林,2011,0,4
黑龙江,2011,0,4
上海,2011,0,1
江苏,2011,0,1
浙江,2011,0,1
安徽,2011,0,2
福建,2011,0,1
江西,2011,0,2
山东,2011,0,1
河南,2011,0,2
湖北,2011,0,2
湖南,2011,0,2
广东,2011,0,1
广西,2011,0,3
海南,2011,0,1
重庆,2011,0,3
四川,2011,0,3
贵州,2011,0,3
云南,2011,0,3
西藏,2011,0,3
陕西,2011,0,3
甘肃,2011,0,3
青海,2011,0,3
宁夏,2011,0,3
新疆,2011,0,3
北京,2012,0,1
天津,2012,0,1
河北,2012,0,1
山西,2012,0,2
内蒙古,2012,0,3
辽宁,2012,0,4
吉林,2012,0,4
黑龙江,2012,0,4
上海,2012,0,1
江苏,2012,0,1
浙江,2012,0,1
安徽,2012,0,2
福建,2012,0,1
江西,2012,0,2
山东,2012,0,1
河南,2012,0,2
湖北,2012,0,2
湖南,2012,0,2
广东,2012,0,1
广西,2012,0,3
海南,2012,0,1
重庆,2012,0,3
四川,2012,0,3
贵州,2012,0,3
云南,2012,0,3
西藏,2012,0,3
陕西,2012,0,3
甘肃,2012,0,3
青海,2012,0,3
宁夏,2012,0,3
新疆,2012,0,3
北京,2013,0,1
天津,2013,0,1
河北,2013,0,1
山西,2013,0,2
内蒙古,2013,0,3
辽宁,2013,0,4
吉林,2013,0,4
黑龙江,2013,0,4
上海,2013,0,1
江苏,2013,0,1
浙江,2013,0,1
安徽,2013,0,2
福建,2013,0,1
江西,2013,0,2
山东,2013,0,1
河南,2013,0,2
湖北,2013,0,2
湖南,2013,0,2
广东,2013,0,1
广西,2013,0,3
海南,2013,0,1
重庆,2013,0,3
四川,2013,0,3
贵州,2013,0,3
云南,2013,0,3
西藏,2013,0,3
陕西,2013,0,3
甘肃,2013,0,3
青海,2013,0,3
宁夏,2013,0,3
新疆,2013,0,3
北京,2014,0,1
天津,2014,0,1
河北,2014,0,1
山西,2014,0,2
内蒙古,2014,0,3
辽宁,2014,0,4
吉林,2014,0,4
黑龙江,2014,0,4
上海,2014,0,1
江苏,2014,0,1
浙江,2014,0,1
安徽,2014,0,2
福建,2014,0,1
江西,2014,0,2
山东,2014,0,1
河南,2014,0,2
湖北,2014,0,2
湖南,2014,0,2
广东,2014,0,1
广西,2014,0,3
海南,2014,0,1
重庆,2014,0,3
四川,2014,0,3
贵州,2014,0,3
云南,2014,0,3
西藏,2014,0,3
陕西,2014,0,3
甘肃,2014,0,3
青海,2014,0,3
宁夏,2014,0,3
新疆,2014,0,3
北京,2015,0,1
天津,2015,0,1
河北,2015,0,1
山西,2015,0,2
内蒙古,2015,0,3
辽宁,2015,0,4
吉林,2015,0,4
黑龙江,2015,0,4
上海,2015,0,1
江苏,2015,0,1
浙江,2015,0,1
安徽,2015,0,2
福建,2015,0,1
江西,2015,0,2
山东,2015,0,1
河南,2015,0,2
湖北,2015,0,2
湖南,2015,0,2
广东,2015,0,1
广西,2015,0,3
海南,2015,0,1
重庆,2015,0,3
四川,2015,0,3
贵州,2015,0,3
云南,2015,0,3
西藏,2015,0,3
陕西,2015,0,3
甘肃,2015,0,3
青海,2015,0,3
宁夏,2015,0,3
新疆,2015,0,3
北京,2016,0,1
天津,2016,0,1
河北,2016,0,1
山西,2016,0,2
内蒙古,2016,0,3
辽宁,2016,0,4
吉林,2016,0,4
黑龙江,2016,0,4
上海,2016,0,1
江苏,2016,0,1
浙江,2016,0,1
安徽,2016,0,2
福建,2016,0,1
江西,2016,0,2
山东,2016,0,1
河南,2016,0,2
湖北,2016,0,2
湖南,2016,0,2
广东,2016,0,1
广西,2016,0,3
海南,2016,0,1
重庆,2016,0,3
四川,2016,0,3
贵州,2016,0,3
云南,2016,0,3
西藏,2016,0,3
陕西,2016,0,3
甘肃,2016,0,3
青海,2016,0,3
宁夏,2016,0,3
新疆,2016,0,3
北京,2017,0,1
天津,2017,0,1
河北,2017,0,1
山西,2017,0,2
内蒙古,2017,0,3
辽宁,2017,0,4
吉林,2017,0,4
黑龙江,2017,0,4
上海,2017,0,1
江苏,2017,0,1
浙江,2017,0,1
安徽,2017,0,2
福建,2017,0,1
江西,2017,0,2
山东,2017,0,1
河南,2017,0,2
湖北,2017,0,2
湖南,2017,0,2
广东,2017,0,1
广西,2017,0,3
海南,2017,0,1
重庆,2017,0,3
四川,2017,0,3
贵州,2017,0,3
云南,2017,0,3
西藏,2017,0,3
陕西,2017,0,3
甘肃,2017,0,3
青海,2017,0,3
宁夏,2017,0,3
新疆,2017,0,3
北京,2018,0,1
天津,2018,0,1
河北,2018,0,1
山西,2018,0,2
内蒙古,2018,0,3
辽宁,2018,0,4
吉林,2018,0,4
黑龙江,2018,0,4
上海,2018,0,1
江苏,2018,0,1
浙江,2018,0,1
安徽,2018,0,2
福建,2018,0,1
江西,2018,0,2
山东,2018,0,1
河南,2018,0,2
湖北,2018,0,2
湖南,2018,0,2
广东,2018,0,1
广西,2018,0,3
海南,2018,0,1
重庆,2018,0,3
四川,2018,0,3
贵州,2018,0,3
云南,2018,0,3
西藏,2018,0,3
陕西,2018,0,3
甘肃,2018,0,3
青海,2018,0,3
宁夏,2018,0,3
新疆,2018,0,3
北京,2019,1,1
天津,2019,0,1
河北,2019,0,1
山西,2019,0,2
内蒙古,2019,0,3
辽宁,2019,0,4
吉林,2019,0,4
黑龙江,2019,0,4
上海,2019,1,1
江苏,2019,0,1
浙江,2019,0,1
安徽,2019,0,2
福建,2019,0,1
江西,2019,0,2
山东,2019,0,1
河南,2019,0,2
湖北,2019,0,2
湖南,2019,0,2
广东,2019,0,1
广西,2019,0,3
海南,2019,0,1
重庆,2019,0,3
四川,2019,0,3
贵州,2019,0,3
云南,2019,0,3
西藏,2019,0,3
陕西,2019,0,3
甘肃,2019,0,3
青海,2019,0,3
宁夏,2019,0,3
新疆,2019,0,3
北京,2020,1,1
天津,2020,1,1
河北,2020,0,1
山西,2020,0,2
内蒙古,2020,0,3
辽宁,2020,0,4
吉林,2020,0,4
黑龙江,2020,0,4
上海,2020,1,1
江苏,2020,0,1
浙江,2020,1,1
安徽,2020,1,2
福建,2020,0,1
江西,2020,0,2
山东,2020,0,1
河南,2020,0,2
湖北,2020,0,2
湖南,2020,1,2
广东,2020,1,1
广西,2020,0,3
海南,2020,0,1
重庆,2020,0,3
四川,2020,0,3
贵州,2020,0,3
云南,2020,0,3
西藏,2020,0,3
陕西,2020,0,3
甘肃,2020,0,3
青海,2020,0,3
宁夏,2020,0,3
新疆,2020,0,3
北京,2021,1,1
天津,2021,1,1
河北,2021,0,1
山西,2021,0,2
内蒙古,2021,0,3
辽宁,2021,0,4
吉林,2021,0,4
黑龙江,2021,0,4
上海,2021,1,1
江苏,2021,1,1
浙江,2021,1,1
安徽,2021,1,2
福建,2021,0,1
江西,2021,0,2
山东,2021,1,1
河南,2021,0,2
湖北,2021,1,2
湖南,2021,1,2
广东,2021,1,1
广西,2021,0,3
海南,2021,0,1
重庆,2021,1,3
四川,2021,1,3
贵州,2021,0,3
云南,2021,0,3
西藏,2021,0,3
陕西,2021,1,3
甘肃,2021,0,3
青海,2021,0,3
宁夏,2021,0,3
新疆,2021,0,3
北京,2022,1,1
天津,2022,1,1
河北,2022,0,1
山西,2022,0,2
内蒙古,2022,0,3
辽宁,2022,0,4
吉林,2022,0,4
黑龙江,2022,0,4
上海,2022,1,1
江苏,2022,1,1
浙江,2022,1,1
安徽,2022,1,2
福建,2022,0,1
江西,2022,0,2
山东,2022,1,1
河南,2022,0,2
湖北,2022,1,2
湖南,2022,1,2
广东,2022,1,1
广西,2022,0,3
海南,2022,0,1
重庆,2022,1,3
四川,2022,1,3
贵州,2022,0,3
云南,2022,0,3
西藏,2022,0,3
陕西,2022,1,3
甘肃,2022,0,3
青海,2022,0,3
宁夏,2022,0,3
新疆,2022,0,3
北京,2023,1,1
天津,2023,1,1
河北,2023,0,1
山西,2023,0,2
内蒙古,2023,0,3
辽宁,2023,0,4
吉林,2023,0,4
黑龙江,2023,0,4
上海,2023,1,1
江苏,2023,1,1
浙江,2023,1,1
安徽,2023,1,2
福建,2023,0,1
江西,2023,0,2
山东,2023,1,1
河南,2023,0,2
湖北,2023,1,2
湖南,2023,1,2
广东,2023,1,1
广西,2023,0,3
海南,2023,0,1
重庆,2023,1,3
四川,2023,1,3
贵州,2023,0,3
云南,2023,0,3
西藏,2023,0,3
陕西,2023,1,3
甘肃,2023,0,3
青海,2023,0,3
宁夏,2023,0,3
新疆,2023,0,3
